2023-01-11 18:20:21 INFO  Metar:46  airport metar30 finded, data: METAR EPRZ 111630Z 12010KT 9999 OVC013 04/03 Q1017 =
2023-01-11 18:20:21 INFO  Metar:61  airport metar00 finded, data: METAR EPRZ 111700Z 12008KT 9999 OVC012 04/03 Q1017 =
2023-01-11 18:20:21 INFO  Metar:75  metar30 time: 111630Z
2023-01-11 18:20:21 INFO  Metar:82  metar00 time: 111700Z
2023-01-11 18:20:21 INFO  Metar:86  111630
2023-01-11 18:21:38 INFO  Main:11  Starting program
2023-01-11 18:21:38 INFO  Metar:21  Creating Metar Object, airport: EPRZ
2023-01-11 18:21:39 INFO  Metar:46  airport metar30 finded, data: METAR EPRZ 111630Z 12010KT 9999 OVC013 04/03 Q1017 =
2023-01-11 18:21:39 INFO  Metar:61  airport metar00 finded, data: METAR EPRZ 111700Z 12008KT 9999 OVC012 04/03 Q1017 =
2023-01-11 18:21:39 INFO  Metar:75  metar30 time: 111630Z
2023-01-11 18:21:39 INFO  Metar:82  metar00 time: 111700Z
2023-01-11 18:22:15 INFO  Main:11  Starting program
2023-01-11 18:22:15 INFO  Metar:22  Creating Metar Object, airport: EPRZ
2023-01-11 18:22:16 INFO  Metar:47  airport metar30 finded, data: METAR EPRZ 111630Z 12010KT 9999 OVC013 04/03 Q1017 =
2023-01-11 18:22:16 INFO  Metar:62  airport metar00 finded, data: METAR EPRZ 111700Z 12008KT 9999 OVC012 04/03 Q1017 =
2023-01-11 18:22:16 INFO  Metar:76  metar30 time: 111630Z
2023-01-11 18:22:16 INFO  Metar:83  metar00 time: 111700Z
2023-01-11 18:22:16 INFO  Metar:93  actual metar: [METAR, EPRZ, 111700Z, 12008KT, 9999, OVC012, 04/03, Q1017, =]
2023-01-11 18:22:53 INFO  Main:11  Starting program
2023-01-11 18:22:53 INFO  Metar:22  Creating Metar Object, airport: EPSC
2023-01-11 18:22:54 INFO  Metar:47  airport metar30 finded, data: METAR EPSC 111630Z 16005KT 6000 -RA OVC002 06/06 Q1008 =
2023-01-11 18:22:54 INFO  Metar:62  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
2023-01-11 18:22:54 INFO  Metar:76  metar30 time: 111630Z
2023-01-11 18:22:54 INFO  Metar:83  metar00 time: 111700Z
2023-01-11 18:22:54 INFO  Metar:93  actual metar: [METAR, EPSC, 111700Z, 17003KT, 6000, -RA, OVC003, 06/06, Q1008, =]
2023-01-11 18:33:39 INFO  Main:11  Starting program
2023-01-11 18:33:39 INFO  Metar:30  Creating Metar Object, airport: EPSC
2023-01-11 18:33:40 INFO  Metar:64  airport metar30 finded, data: METAR EPSC 111730Z 19005KT 140V230 8000 -RA OVC002 06/06 Q1009 =
2023-01-11 18:33:40 INFO  Metar:79  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
2023-01-11 18:33:40 INFO  Metar:93  metar30 time: 111730Z
2023-01-11 18:33:40 INFO  Metar:100 metar00 time: 111700Z
2023-01-11 18:34:02 INFO  Main:11  Starting program
2023-01-11 18:34:02 INFO  Metar:30  Creating Metar Object, airport: EPSC
2023-01-11 18:34:04 INFO  Metar:64  airport metar30 finded, data: METAR EPSC 111730Z 19005KT 140V230 8000 -RA OVC002 06/06 Q1009 =
2023-01-11 18:34:04 INFO  Metar:79  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
2023-01-11 18:34:04 INFO  Metar:93  metar30 time: 111730Z
2023-01-11 18:34:04 INFO  Metar:100 metar00 time: 111700Z
2023-01-11 18:35:59 INFO  Main:11  Starting program
2023-01-11 18:35:59 INFO  Metar:28  Creating Metar Object, airport: EPSC
2023-01-11 18:36:00 INFO  Metar:62  airport metar30 finded, data: METAR EPSC 111730Z 19005KT 140V230 8000 -RA OVC002 06/06 Q1009 =
2023-01-11 18:36:00 INFO  Metar:77  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
2023-01-11 18:36:00 INFO  Metar:91  metar30 time: 111730Z
2023-01-11 18:36:00 INFO  Metar:98  metar00 time: 111700Z
2023-01-11 18:36:00 WARN  Metar:109 [Ljava.lang.String;@f001896
2023-01-11 18:36:08 INFO  Main:11  Starting program
2023-01-11 18:36:08 INFO  Metar:28  Creating Metar Object, airport: EPSC
2023-01-11 18:36:09 INFO  Metar:62  airport metar30 finded, data: METAR EPSC 111730Z 19005KT 140V230 8000 -RA OVC002 06/06 Q1009 =
2023-01-11 18:36:09 INFO  Metar:77  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
2023-01-11 18:36:09 INFO  Metar:91  metar30 time: 111730Z
2023-01-11 18:36:09 INFO  Metar:98  metar00 time: 111700Z
2023-01-11 18:36:09 WARN  Metar:109 [Ljava.lang.String;@463b4ac8
2023-01-11 18:36:14 INFO  Main:11  Starting program
2023-01-11 18:36:14 INFO  Metar:29  Creating Metar Object, airport: EPSC
2023-01-11 18:36:15 INFO  Metar:63  airport metar30 finded, data: METAR EPSC 111730Z 19005KT 140V230 8000 -RA OVC002 06/06 Q1009 =
2023-01-11 18:36:15 INFO  Metar:78  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
2023-01-11 18:36:15 INFO  Metar:92  metar30 time: 111730Z
2023-01-11 18:36:15 INFO  Metar:99  metar00 time: 111700Z
2023-01-11 18:36:15 WARN  Metar:110 [METAR, EPSC, 111730Z, 19005KT, 140V230, 8000, -RA, OVC002, 06/06, Q1009, =]
2023-01-11 18:38:06 INFO  Main:11  Starting program
2023-01-11 18:38:06 INFO  Metar:30  Creating Metar Object, airport: EPSC
2023-01-11 18:38:07 INFO  Metar:64  airport metar30 finded, data: METAR EPSC 111730Z 19005KT 140V230 8000 -RA OVC002 06/06 Q1009 =
2023-01-11 18:38:07 INFO  Metar:79  airport metar00 finded, data: METAR EPSC 111700Z 17003KT 6000 -RA OVC003 06/06 Q1008 =
